epoch,eval_loss,learning_rate,loss,step
0.45,,9.799999999999998e-05,14.635,50
0.91,,0.000198,12.2014,100
1.0,11.432045936584473,,,110
1.36,,0.000298,10.3595,150
1.82,,0.0002972523364485981,8.0846,200
2.0,7.759748458862305,,,220
2.27,,0.0002944485981308411,7.8469,250
2.73,,0.0002916448598130841,7.7783,300
3.0,7.648678302764893,,,330
3.18,,0.00028884112149532706,7.7244,350
3.64,,0.0002860373831775701,7.6638,400
4.0,7.5438618659973145,,,440
4.09,,0.00028323364485981304,7.6285,450
4.55,,0.00028042990654205606,7.4721,500
5.0,,0.000277626168224299,7.3985,550
5.0,7.244190216064453,,,550
5.45,,0.00027482242990654204,7.2724,600
5.91,,0.000272018691588785,7.0092,650
6.0,6.845831394195557,,,660
6.36,,0.000269214953271028,6.7918,700
6.82,,0.000266411214953271,6.5458,750
7.0,6.027835845947266,,,770
7.27,,0.000263607476635514,6.1816,800
7.73,,0.00026080373831775697,5.7585,850
8.0,4.98520040512085,,,880
8.18,,0.000258,5.4192,900
8.64,,0.00025519626168224295,5.0588,950
9.0,4.420314788818359,,,990
9.09,,0.00025239252336448596,4.7268,1000
9.55,,0.00024958878504672893,4.4991,1050
10.0,,0.00024678504672897195,4.296,1100
10.0,4.084791660308838,,,1100
10.45,,0.00024398130841121494,4.1514,1150
10.91,,0.00024117757009345793,4.0479,1200
11.0,3.8152105808258057,,,1210
11.36,,0.00023837383177570092,3.9137,1250
11.82,,0.0002355700934579439,3.8171,1300
12.0,3.746480703353882,,,1320
12.27,,0.0002327663551401869,3.6942,1350
12.73,,0.0002299626168224299,3.6905,1400
13.0,3.7005698680877686,,,1430
13.18,,0.00022715887850467288,3.6642,1450
13.64,,0.00022435514018691587,3.6422,1500
14.0,3.6073341369628906,,,1540
14.09,,0.00022155140186915886,3.5548,1550
14.55,,0.00021874766355140185,3.4896,1600
15.0,,0.00021594392523364484,3.5132,1650
15.0,3.5949792861938477,,,1650
15.45,,0.00021314018691588783,3.4675,1700
15.91,,0.00021033644859813082,3.4799,1750
16.0,3.5214433670043945,,,1760
16.36,,0.00020753271028037381,3.446,1800
16.82,,0.0002047289719626168,3.4106,1850
17.0,3.5609114170074463,,,1870
17.27,,0.0002019252336448598,3.4045,1900
17.73,,0.00019912149532710279,3.4284,1950
18.0,3.5458335876464844,,,1980
18.18,,0.00019631775700934578,3.3423,2000
18.64,,0.00019351401869158877,3.3656,2050
19.0,3.5448877811431885,,,2090
19.09,,0.00019071028037383176,3.3517,2100
19.55,,0.00018790654205607475,3.3364,2150
20.0,,0.00018510280373831774,3.3306,2200
20.0,3.547774314880371,,,2200
20.45,,0.00018229906542056073,3.3536,2250
20.91,,0.00017949532710280372,3.2763,2300
21.0,3.4958128929138184,,,2310
21.36,,0.0001766915887850467,3.3545,2350
21.82,,0.0001738878504672897,3.3013,2400
22.0,3.581698417663574,,,2420
22.27,,0.0001710841121495327,3.2872,2450
22.73,,0.00016828037383177568,3.2451,2500
23.0,3.590857744216919,,,2530
23.18,,0.00016547663551401867,3.2601,2550
23.64,,0.00016267289719626166,3.2517,2600
24.0,3.4849305152893066,,,2640
24.09,,0.00015986915887850466,3.2647,2650
24.55,,0.00015706542056074765,3.2473,2700
25.0,,0.00015426168224299064,3.255,2750
25.0,3.54557728767395,,,2750
25.45,,0.00015145794392523363,3.2442,2800
25.91,,0.00014865420560747662,3.2473,2850
26.0,3.520390748977661,,,2860
26.36,,0.0001458504672897196,3.2216,2900
26.82,,0.0001430467289719626,3.2285,2950
27.0,3.591428518295288,,,2970
27.27,,0.0001402429906542056,3.1969,3000
27.73,,0.00013743925233644858,3.1974,3050
28.0,3.5266363620758057,,,3080
28.18,,0.00013463551401869157,3.1984,3100
28.64,,0.00013183177570093456,3.1891,3150
29.0,3.5826141834259033,,,3190
