epoch,eval_loss,learning_rate,loss,step
0.45,,3.266666666666667e-05,15.858,50
0.91,,6.6e-05,13.4617,100
1.0,12.961835861206055,,,110
1.36,,9.933333333333334e-05,12.5787,150
1.82,,9.908411214953272e-05,11.9047,200
2.0,11.142154693603516,,,220
2.27,,9.814953271028037e-05,10.753,250
2.73,,9.721495327102804e-05,9.0657,300
3.0,8.304040908813477,,,330
3.18,,9.628037383177571e-05,8.5016,350
3.64,,9.534579439252336e-05,8.3339,400
4.0,8.189733505249023,,,440
4.09,,9.441121495327103e-05,8.2915,450
4.55,,9.34766355140187e-05,8.2362,500
5.0,,9.254205607476635e-05,8.2201,550
5.0,8.137228965759277,,,550
5.45,,9.160747663551402e-05,8.221,600
5.91,,9.067289719626169e-05,8.1478,650
6.0,8.124995231628418,,,660
6.36,,8.973831775700934e-05,8.1513,700
6.82,,8.880373831775701e-05,8.1625,750
7.0,8.110544204711914,,,770
7.27,,8.786915887850468e-05,8.1369,800
7.73,,8.693457943925234e-05,8.095,850
8.0,8.085823059082031,,,880
8.18,,8.6e-05,8.0991,900
8.64,,8.506542056074767e-05,8.0878,950
9.0,8.10680103302002,,,990
9.09,,8.413084112149533e-05,8.0605,1000
9.55,,8.3196261682243e-05,8.0491,1050
10.0,,8.226168224299066e-05,8.037,1100
10.0,8.097284317016602,,,1100
10.45,,8.132710280373832e-05,8.008,1150
10.91,,8.039252336448598e-05,8.0096,1200
11.0,8.116690635681152,,,1210
11.36,,7.945794392523365e-05,7.9615,1250
11.82,,7.852336448598131e-05,7.9821,1300
12.0,8.109064102172852,,,1320
12.27,,7.758878504672898e-05,7.9743,1350
12.73,,7.665420560747664e-05,7.9242,1400
13.0,8.15084171295166,,,1430
