epoch,eval_loss,learning_rate,loss,step
0.05,,3.266666666666667e-05,15.2733,50
0.1,,6.6e-05,12.9813,100
0.15,,9.933333333333334e-05,12.1202,150
0.2,,9.990170511534604e-05,11.7739,200
0.25,,9.980140421263792e-05,10.9713,250
0.3,,9.970110330992978e-05,9.8439,300
0.35,,9.960080240722168e-05,9.4136,350
0.4,,9.950050150451354e-05,9.2699,400
0.45,,9.940020060180542e-05,9.1527,450
0.5,,9.92998996990973e-05,9.1121,500
0.55,,9.919959879638917e-05,9.0926,550
0.6,,9.909929789368104e-05,9.0642,600
0.65,,9.899899699097292e-05,9.0632,650
0.7,,9.88986960882648e-05,9.0549,700
0.75,,9.879839518555668e-05,9.039,750
0.8,,9.869809428284855e-05,9.0384,800
0.85,,9.859779338014043e-05,9.0298,850
0.9,,9.84974924774323e-05,9.0245,900
0.95,,9.839719157472418e-05,9.0101,950
1.0,,9.829689067201605e-05,9.001,1000
1.0,8.967756271362305,,,1000
1.05,,9.819658976930793e-05,8.9958,1050
1.1,,9.80962888665998e-05,8.9884,1100
1.15,,9.799598796389167e-05,8.9744,1150
1.2,,9.789568706118356e-05,8.97,1200
1.25,,9.779538615847543e-05,8.9633,1250
1.3,,9.769508525576731e-05,8.9415,1300
1.35,,9.759478435305919e-05,8.9383,1350
1.4,,9.749448345035105e-05,8.9217,1400
1.45,,9.739418254764293e-05,8.9064,1450
1.5,,9.729388164493481e-05,8.886,1500
1.55,,9.719358074222669e-05,8.8653,1550
1.6,,9.709327983951856e-05,8.8468,1600
1.65,,9.699297893681045e-05,8.8316,1650
1.7,,9.689267803410231e-05,8.7983,1700
1.75,,9.679237713139418e-05,8.7901,1750
1.8,,9.669207622868607e-05,8.7709,1800
1.85,,9.659177532597794e-05,8.7327,1850
1.9,,9.649147442326982e-05,8.7116,1900
1.95,,9.63911735205617e-05,8.6816,1950
2.0,,9.629087261785356e-05,8.6495,2000
2.0,8.517309188842773,,,2000
2.05,,9.619057171514544e-05,8.6252,2050
2.1,,9.609027081243732e-05,8.5876,2100
2.15,,9.59899699097292e-05,8.5544,2150
2.2,,9.588966900702106e-05,8.5345,2200
2.25,,9.578936810431296e-05,8.4993,2250
2.3,,9.568906720160482e-05,8.4573,2300
2.35,,9.558876629889669e-05,8.4193,2350
2.4,,9.548846539618858e-05,8.3925,2400
2.45,,9.538816449348044e-05,8.3569,2450
2.5,,9.528786359077232e-05,8.3099,2500
2.55,,9.51875626880642e-05,8.2649,2550
2.6,,9.508726178535608e-05,8.2464,2600
2.65,,9.498696088264795e-05,8.1762,2650
2.7,,9.488665997993983e-05,8.105,2700
2.75,,9.47863590772317e-05,8.0853,2750
2.8,,9.468605817452357e-05,8.0796,2800
2.85,,9.458575727181546e-05,8.0005,2850
2.9,,9.448545636910733e-05,7.9759,2900
2.95,,9.43851554663992e-05,7.9384,2950
3.0,,9.428485456369109e-05,7.8574,3000
3.0,7.369317531585693,,,3000
3.05,,9.418455366098295e-05,7.8048,3050
3.1,,9.408425275827483e-05,7.7542,3100
3.15,,9.398395185556671e-05,7.7401,3150
3.2,,9.388365095285859e-05,7.6206,3200
3.25,,9.378335005015045e-05,7.5951,3250
3.3,,9.368304914744233e-05,7.5328,3300
3.35,,9.358274824473421e-05,7.4786,3350
3.4,,9.348244734202608e-05,7.4538,3400
3.45,,9.338214643931797e-05,7.3298,3450
3.5,,9.328184553660983e-05,7.3692,3500
3.55,,9.318154463390171e-05,7.2809,3550
3.6,,9.308124373119359e-05,7.1741,3600
3.65,,9.298094282848546e-05,7.2238,3650
3.7,,9.288064192577734e-05,7.1383,3700
3.75,,9.278034102306922e-05,7.1279,3750
3.8,,9.26800401203611e-05,7.0215,3800
3.85,,9.257973921765296e-05,7.0605,3850
3.9,,9.247943831494484e-05,6.9471,3900
3.95,,9.237913741223672e-05,6.9116,3950
4.0,,9.227883650952858e-05,6.8631,4000
4.0,6.168206214904785,,,4000
4.05,,9.217853560682048e-05,6.8795,4050
4.1,,9.207823470411234e-05,6.7381,4100
4.15,,9.197793380140422e-05,6.8079,4150
4.2,,9.18776328986961e-05,6.7005,4200
4.25,,9.177733199598796e-05,6.7006,4250
4.3,,9.167703109327984e-05,6.6353,4300
4.35,,9.157673019057172e-05,6.603,4350
4.4,,9.14764292878636e-05,6.6014,4400
4.45,,9.137612838515547e-05,6.5838,4450
