epoch,eval_loss,learning_rate,loss,step
0.75,,9.799999999999998e-05,14.0704,50
1.0,12.103730201721191,,,67
1.49,,0.000198,11.9266,100
2.0,10.452743530273438,,,134
2.24,,0.000298,10.7187,150
2.99,,0.00029540625,9.3185,200
3.0,9.138216018676758,,,201
3.73,,0.00029071875,9.0983,250
4.0,9.009685516357422,,,268
4.48,,0.00028603125,9.0547,300
5.0,8.956939697265625,,,335
5.22,,0.00028134374999999996,9.0099,350
5.97,,0.00027665625,8.9544,400
6.0,8.85448169708252,,,402
6.72,,0.00027196874999999997,8.8532,450
7.0,8.67410945892334,,,469
7.46,,0.00026728125,8.7288,500
8.0,8.482492446899414,,,536
8.21,,0.00026259374999999997,8.5505,550
8.96,,0.00025790625,8.3314,600
9.0,8.00003433227539,,,603
9.7,,0.00025321874999999997,8.0625,650
10.0,7.473080635070801,,,670
10.45,,0.00024853125,7.7272,700
11.0,6.803275108337402,,,737
11.19,,0.00024384375,7.344,750
11.94,,0.00023915625,6.9264,800
12.0,6.046092510223389,,,804
12.69,,0.00023446875,6.4604,850
13.0,5.4744954109191895,,,871
13.43,,0.00022978125,6.0932,900
14.0,5.070570468902588,,,938
14.18,,0.00022509375,5.7825,950
14.93,,0.00022040625,5.5055,1000
15.0,4.775808811187744,,,1005
15.67,,0.00021571875,5.2727,1050
16.0,4.627357006072998,,,1072
16.42,,0.00021103124999999998,5.15,1100
17.0,4.471457481384277,,,1139
17.16,,0.00020634374999999998,4.9976,1150
17.91,,0.00020165624999999999,4.8875,1200
18.0,4.3764967918396,,,1206
18.66,,0.00019696875,4.8184,1250
19.0,4.30983829498291,,,1273
19.4,,0.00019228125,4.7579,1300
20.0,4.28393030166626,,,1340
20.15,,0.00018759375,4.7358,1350
20.9,,0.00018290625,4.6647,1400
21.0,4.227133750915527,,,1407
21.64,,0.00017821875,4.6501,1450
22.0,4.2468390464782715,,,1474
22.39,,0.00017353125,4.6047,1500
23.0,4.263125896453857,,,1541
23.13,,0.00016884375,4.5993,1550
23.88,,0.00016415625,4.6399,1600
24.0,4.258458614349365,,,1608
24.63,,0.00015946875,4.5572,1650
25.0,4.241542339324951,,,1675
25.37,,0.00015478125,4.5301,1700
26.0,4.19959020614624,,,1742
26.12,,0.00015009375,4.5305,1750
26.87,,0.00014540624999999997,4.5486,1800
27.0,4.204258441925049,,,1809
27.61,,0.00014071874999999997,4.5321,1850
28.0,4.195186614990234,,,1876
28.36,,0.00013603124999999998,4.5114,1900
29.0,4.208587169647217,,,1943
29.1,,0.00013134374999999998,4.4884,1950
29.85,,0.00012665624999999998,4.5183,2000
30.0,4.228837013244629,,,2010
30.6,,0.00012196875,4.496,2050
31.0,4.213018417358398,,,2077
31.34,,0.00011728124999999998,4.4694,2100
32.0,4.2458906173706055,,,2144
32.09,,0.00011259374999999998,4.4569,2150
32.84,,0.00010790624999999998,4.4545,2200
33.0,4.243551254272461,,,2211
